Loading files... 
  Starting company_founder_full.tsv
  Finished company_founder_full.tsv, still running: 0
Loaded 47493 facts in 0.82 s using -90 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 4 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  known_for  ?a   => ?a  founder  ?b	0.056338028	0.024539877	0.125	4	163	32	?b	0.0	0.0	0.0
?b  occupation  ?a   => ?a  founder  ?b	0.154929577	0.036065574	0.119565217	11	305	92	?b	0.0	0.0	0.0
?b  boards  ?a   => ?a  founder  ?b	0.028169014	0.057142857	0.181818182	2	35	11	?b	0.0	0.0	0.0
?b  workplaces  ?a   => ?a  founder  ?b	0.014084507	0.018867925	0.142857143	1	53	7	?b	0.0	0.0	0.0
?a  founded_by  ?b   => ?a  founder  ?b	0.492957746	0.538461538	0.795454545	35	65	44	?b	0.0	0.0	0.0
?b  known  ?a   => ?a  founder  ?b	0.014084507	0.333333333	0.333333333	1	3	3	?b	0.0	0.0	0.0
?a  key_people  ?b   => ?a  founder  ?b	0.169014085	0.102564103	0.52173913	12	117	23	?b	0.0	0.0	0.0
?a  key_person  ?b   => ?a  founder  ?b	0.126760563	0.090909091	0.375	9	99	24	?b	0.0	0.0	0.0
?a  ceo  ?b   => ?a  founder  ?b	0.014084507	0.333333333	1	1	3	1	?b	0.0	0.0	0.0
?b  occupation  ?a   => ?a  founded_by  ?b	0.153846154	0.032786885	0.107526882	10	305	93	?b	0.0	0.0	0.0
?b  known_for  ?a   => ?a  founded_by  ?b	0.153846154	0.061349693	0.238095238	10	163	42	?b	0.0	0.0	0.0
?b  boards  ?a   => ?a  founded_by  ?b	0.046153846	0.085714286	0.3	3	35	10	?b	0.0	0.0	0.0
?b  workplaces  ?a   => ?a  founded_by  ?b	0.030769231	0.037735849	0.2	2	53	10	?b	0.0	0.0	0.0
?b  known  ?a   => ?a  founded_by  ?b	0.015384615	0.333333333	0.333333333	1	3	3	?b	0.0	0.0	0.0
?b  board  ?a   => ?a  founded_by  ?b	0.015384615	0.033333333	0.25	1	30	4	?b	0.0	0.0	0.0
?b  salary  ?a   => ?a  founded_by  ?b	0.015384615	0.071428571	0.142857143	1	14	7	?b	0.0	0.0	0.0
?a  key_person  ?b   => ?a  founded_by  ?b	0.230769231	0.151515152	0.625	15	99	24	?b	0.0	0.0	0.0
?a  founder  ?b   => ?a  founded_by  ?b	0.538461538	0.492957746	0.853658537	35	71	41	?b	0.0	0.0	0.0
?a  founders  ?b   => ?a  founded_by  ?b	0.261538462	0.361702128	0.653846154	17	47	26	?b	0.0	0.0	0.0
?a  ceo  ?b   => ?a  founded_by  ?b	0.015384615	0.333333333	0.5	1	3	2	?b	0.0	0.0	0.0
?a  key_people  ?b   => ?a  founded_by  ?b	0.169230769	0.094017094	0.47826087	11	117	23	?b	0.0	0.0	0.0
?b  known_for  ?a   => ?a  founders  ?b	0.191489362	0.055214724	0.264705882	9	163	34	?b	0.0	0.0	0.0
?b  salary  ?a   => ?a  founders  ?b	0.021276596	0.071428571	0.2	1	14	5	?b	0.0	0.0	0.0
?b  board  ?a   => ?a  founders  ?b	0.021276596	0.033333333	0.25	1	30	4	?b	0.0	0.0	0.0
?b  boards  ?a   => ?a  founders  ?b	0.021276596	0.028571429	0.2	1	35	5	?b	0.0	0.0	0.0
?b  employer  ?a   => ?a  founders  ?b	0.021276596	0.011363636	0.25	1	88	4	?b	0.0	0.0	0.0
?a  founded_by  ?b   => ?a  founders  ?b	0.361702128	0.261538462	0.80952381	17	65	21	?b	0.0	0.0	0.0
?a  key_person  ?b   => ?a  founders  ?b	0.170212766	0.080808081	0.470588235	8	99	17	?b	0.0	0.0	0.0
?a  key_people  ?b   => ?a  founders  ?b	0.170212766	0.068376068	0.5	8	117	16	?b	0.0	0.0	0.0
?a  products  ?b   => ?a  founders  ?b	0.063829787	0.029126214	0.6	3	103	5	?b	0.0	0.0	0.0
?a  industry  ?b   => ?a  founders  ?b	0.042553191	0.027027027	0.666666667	2	74	3	?b	0.0	0.0	0.0
?a  services  ?b   => ?a  founders  ?b	0.021276596	0.029411765	0.5	1	34	2	?b	0.0	0.0	0.0
?a  owning_company  ?b   => ?a  founders  ?b	0.042553191	0.048780488	0.2	2	41	10	?b	0.0	0.0	0.0
?a  traded_as  ?b   => ?a  founders  ?b	0.021276596	0.04	1	1	25	1	?b	0.0	0.0	0.0
?a  subsid  ?b   => ?a  founders  ?b	0.021276596	0.03125	0.5	1	32	2	?b	0.0	0.0	0.0
?a  key_people  ?b  ?b  known_for  ?a   => ?a  founder  ?b	0.014084507	0.333333333	1	1	3	1	?b	0.0	0.0	0.0
?b  known_for  ?a  ?b  occupation  ?a   => ?a  founder  ?b	0.014084507	0.125	1	1	8	1	?b	0.0	0.0	0.0
?b  known_for  ?a  ?b  workplaces  ?a   => ?a  founder  ?b	0.014084507	0.25	0.5	1	4	2	?b	0.0	0.0	0.0
